iter	Passed	Remaining
826	13803	2887
827	13822	2871
828	13841	2855
829	13860	2838
830	13878	2822
831	13896	2806
832	13904	2787
833	13922	2771
834	13940	2754
835	13957	2738
836	13963	2719
837	13981	2702
838	13999	2686
839	14017	2670
840	14036	2653
841	14055	2637
842	14073	2621
843	14091	2604
844	14110	2588
845	14129	2571
846	14146	2555
847	14157	2537
848	14169	2520
849	14187	2503
850	14205	2487
851	14223	2470
852	14241	2454
853	14260	2438
854	14279	2421
855	14295	2404
856	14313	2388
857	14332	2371
858	14350	2355
859	14369	2339
860	14387	2322
861	14406	2306
862	14424	2289
863	14442	2273
864	14450	2255
865	14471	2239
866	14492	2223
867	14515	2207
868	14530	2190
869	14547	2173
870	14566	2157
871	14593	2142
872	14608	2125
873	14623	2108
874	14638	2091
875	14655	2074
876	14670	2057
877	14688	2040
878	14705	2024
879	14724	2007
880	14743	1991
881	14761	1974
882	14780	1958
883	14798	1941
884	14817	1925
885	14836	1908
886	14843	1891
887	14861	1874
888	14879	1857
889	14898	1841
890	14911	1824
891	14927	1807
892	14946	1790
893	14964	1774
894	14983	1757
895	15001	1741
896	15020	1724
897	15038	1708
898	15057	1691
899	15072	1674
900	15087	1657
901	15105	1641
902	15123	1624
903	15142	1608
904	15152	1590
905	15169	1573
906	15188	1557
907	15207	1540
908	15225	1524
909	15243	1507
910	15258	1490
911	15277	1474
912	15295	1457
913	15314	1440
914	15333	1424
915	15351	1407
916	15368	1391
917	15387	1374
918	15404	1357
919	15423	1341
920	15440	1324
921	15456	1307
922	15470	1290
923	15484	1273
924	15500	1256
925	15517	1240
926	15536	1223
927	15554	1206
928	15568	1189
929	15584	1173
930	15602	1156
931	15619	1139
932	15637	1122
933	15654	1106
934	15673	1089
935	15691	1072
936	15706	1056
937	15725	1039
938	15744	1022
939	15762	1006
940	15772	988
941	15790	972
942	15808	955
943	15826	938
944	15845	922
945	15864	905
946	15882	888
947	15892	871
948	15910	855
949	15920	837
950	15939	821
951	15959	804
952	15980	788
953	15999	771
954	16018	754
955	16037	738
956	16059	721
957	16085	705
958	16104	688
959	16122	671
960	16140	655
961	16159	638
962	16178	621
963	16197	604
964	16216	588
965	16226	571
966	16245	554
967	16264	537
968	16283	520
969	16301	504
970	16320	487
971	16338	470
972	16358	453
973	16377	437
974	16395	420
975	16414	403
976	16433	386
977	16452	370
978	16472	353
979	16490	336
980	16508	319
981	16527	302
982	16546	286
983	16566	269
984	16584	252
985	16602	235
986	16620	218
987	16638	202
988	16656	185
989	16675	168
990	16694	151
991	16712	134
992	16731	117
993	16751	101
994	16770	84
995	16788	67
996	16807	50
997	16826	33
998	16844	16
999	16862	0
